2,B,8,09:39:00,10:22:00
2,C,1,12:03:00,13:43:00
2,C,2,13:48:00,14:32:00
2,C,5,08:51:00,09:34:00
2,C,6,09:39:00,10:22:00
2,C,7,10:27:00,11:10:00
2,C,8,11:15:00,11:58:00
2,D,3,08:51:00,09:34:00
2,D,4,09:39:00,10:22:00
2,D,5,10:27:00,11:10:00
2,D,6,11:15:00,11:58:00
2,D,7,12:03:00,13:43:00
2,D,8,13:48:00,14:32:00
2,E,1,13:48:00,14:32:00
2,E,2,12:03:00,13:43:00
2,E,3,11:15:00,11:58:00
2,E,4,10:27:00,11:10:00
2,E,5,09:39:00,10:22:00
2,E,6,08:51:00,09:34:00
2,F,1,11:15:00,11:58:00
2,F,2,10:27:00,11:10:00
2,F,3,09:39:00,10:22:00
2,F,4,08:51:00,09:34:00
2,F,7,13:48:00,14:32:00
2,F,8,12:03:00,13:43:00
2,G,1,09:39:00,10:22:00
2,G,2,08:51:00,09:34:00
2,G,5,13:48:00,14:32:00
2,G,6,12:03:00,13:43:00
2,G,7,11:15:00,11:58:00
2,G,8,10:27:00,11:10:00
2,H,3,13:48:00,14:32:00
2,H,4,12:03:00,13:43:00
2,H,5,11:15:00,11:58:00
2,H,6,10:27:00,11:10:00
2,H,7,09:39:00,10:22:00
2,H,8,08:51:00,09:34:00
3,M1,1,08:05:00,10:05:00
3,M1,2,10:30:00,12:30:00
3,M2,4,10:30:00,12:30:00
3,M2,3,08:05:00,10:05:00
3,M3,6,10:30:00,12:30:00
3,M3,5,08:05:00,10:05:00
3,M4,8,10:30:00,12:30:00
3,M4,7,08:05:00,10:05:00
3,Y1,2,08:05:00,10:05:00
3,Y1,1,10:30:00,12:30:00
3,Y2,4,08:05:00,10:05:00
3,Y2,3,10:30:00,12:30:00
3,Y3,6,08:05:00,10:05:00
3,Y3,5,10:30:00,12:30:00
3,Y4,8,08:05:00,10:05:00
3,Y4,7,10:30:00,12:30:00
6,S,1,08:35:00,09:05:00
6,S,2,09:10:00,09:40:00
6,S,3,09:45:00,10:15:00
6,S,4,10:20:00,10:50:00
6,S,5,10:55:00,11:25:00
6,S,6,11:30:00,12:00:00
6,S,7,12:05:00,01:45:00
6,S,8,01:50:00,02:20:00
7,SS,1,01:50:00,02:20:00
7,SS,2,12:05:00,01:45:00
7,SS,3,11:30:00,12:00:00
7,SS,4,10:55:00,11:25:00
7,SS,5,10:20:00,10:50:00
7,SS,6,09:45:00,10:15:00
7,SS,7,09:10:00,09:40:00
7,SS,8,08:35:00,09:05:00
5,A,1,10:00:00,10:31:00
5,A,2,10:36:00,11:07:00
5,A,3,11:12:00,11:42:00
5,A,4,11:47:00,12:17:00
5,A,5,12:21:00,13:59:00
5,A,6,14:03:00,14:32:00
5,B,1,11:12:00,11:42:00
5,B,2,11:47:00,12:17:00
5,B,3,12:21:00,13:59:00
5,B,4,14:03:00,14:32:00
5,B,7,10:00:00,10:31:00
5,B,8,10:36:00,11:07:00
5,D,3,10:00:00,10:31:00
5,D,4,10:36:00,11:07:00
5,D,5,11:12:00,11:42:00
5,D,6,11:47:00,12:17:00
5,D,7,12:21:00,13:59:00
5,D,8,14:03:00,14:32:00
